timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 9, 2025 @ 17:24:07.244","vic-agent","Executable file created by powershell: C:\\Users\\windows\\Downloads\\procdump\\Outflank-Dumpert.exe","6","92203"
"Jun 9, 2025 @ 17:23:43.330","vic-agent","Possible adversary activity - LSASS memory dump: C:\\users\\windows\\downloads\\procdump\\procdump64.exe created a new file on vic-agent endpoint.","10","100011"
"Jun 9, 2025 @ 17:23:23.597","vic-agent","Executable file created by powershell: C:\\Users\\windows\\Downloads\\procdump\\procdump64a.exe","6","92203"
"Jun 9, 2025 @ 17:23:23.585","vic-agent","Executable file created by powershell: C:\\Users\\windows\\Downloads\\procdump\\procdump64.exe","6","92203"
"Jun 9, 2025 @ 17:23:23.583","vic-agent","Executable file created by powershell: C:\\Users\\windows\\Downloads\\procdump\\procdump.exe","6","92203"
"Jun 9, 2025 @ 17:23:09.758","vic-agent","Suspicious file compression activity by powershell: C:\\Users\\windows\\Downloads\\procdump.zip","14","92212"
"Jun 9, 2025 @ 17:22:40.303","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 9, 2025 @ 17:22:36.093","vic-agent","Wazuh agent started.","3","503"
"Jun 9, 2025 @ 17:22:33.235","vic-agent","Wazuh agent stopped.","3","506"
"Jun 9, 2025 @ 17:06:36.141","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 9, 2025 @ 17:06:31.043","vic-agent","Wazuh agent started.","3","503"
"Jun 9, 2025 @ 17:06:28.855","vic-agent","Wazuh agent stopped.","3","506"
"Jun 9, 2025 @ 16:28:48.120","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 9, 2025 @ 16:28:40.830","vic-agent","Wazuh agent started.","3","503"
"Jun 9, 2025 @ 16:28:28.268","vic-agent","Wazuh agent stopped.","3","506"
"Jun 9, 2025 @ 16:28:01.399","vic-agent","Windows System error event","5","61102"
"Jun 9, 2025 @ 16:19:11.862","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 9, 2025 @ 16:19:05.129","vic-agent","Wazuh agent started.","3","503"
"Jun 9, 2025 @ 16:18:26.225","vic-agent","Windows System error event","5","61102"
"Jun 9, 2025 @ 16:09:04.379","vic-agent","SCA summary: CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Score less than 50% (30)","7","19004"
"Jun 9, 2025 @ 16:08:43.330","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled'.: Status changed from 'not applicable' to passed","3","19015"
"Jun 9, 2025 @ 16:08:41.420","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'.: Status changed from failed to passed","3","19010"
"Jun 9, 2025 @ 16:08:33.542","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 9, 2025 @ 16:08:29.710","vic-agent","Wazuh agent started.","3","503"
