timestamp,agent.name,rule.description,rule.level,rule.id
"this is the triggered rule no 1-->Jun 11, 2025 @ 12:16:45.859","vic-agent","Custom Alert: Network share accessed (possible lateral movement)","7","100202"
"this is the triggered rule no 2-->Jun 11, 2025 @ 12:16:37.946","vic-agent","Custom Alert: Suspicious Windows system process activity over SMB port","8","100203"
"Jun 11, 2025 @ 12:16:35.313","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Removable Storage' is set to 'Success and Failure'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:35.299","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Other Object Access Events' is set to 'Success and Failure'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:35.252","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit File Share' is set to 'Success and Failure'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:35.228","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Detailed File Share' is set to include 'Failure'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:35.186","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Special Logon' is set to include 'Success'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:35.135","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Other Logon/Logoff Events' is set to 'Success and Failure'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:35.062","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Logon' is set to 'Success and Failure'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:35.060","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Logoff' is set to include 'Success'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:35.023","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Group Membership' is set to include 'Success'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:34.956","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Account Lockout' is set to include 'Failure'.: Status changed from failed to passed","3","19010"
"Jun 11, 2025 @ 12:16:34.806","vic-agent","Custom Alert: Network share accessed (possible lateral movement)","7","100202"
"Jun 11, 2025 @ 12:16:34.775","vic-agent","Custom Alert: Network share accessed (possible lateral movement)","7","100202"
"Jun 11, 2025 @ 12:16:34.713","vic-agent","Successful Remote Logon Detected - User:\Administrator - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"Jun 11, 2025 @ 12:16:34.679","vic-agent","Special privileges assigned to new logon.","3","67028"
"Jun 11, 2025 @ 12:16:17.657","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 11, 2025 @ 12:16:11.708","vic-agent","Wazuh agent started.","3","503"
"Jun 11, 2025 @ 12:16:09.533","vic-agent","Wazuh agent stopped.","3","506"
"Jun 11, 2025 @ 12:16:01.312","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 11, 2025 @ 12:16:00.557","vic-agent","Windows User Logoff","3","60137"
"Jun 11, 2025 @ 12:15:59.580","vic-agent","Software protection service scheduled successfully.","3","60642"
"Jun 11, 2025 @ 12:15:57.470","vic-agent","Wazuh agent started.","3","503"
"Jun 11, 2025 @ 12:10:44.906","vic-agent","Software protection service scheduled successfully.","3","60642"
"Jun 11, 2025 @ 12:10:13.973","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 12:10:13.973","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 12:10:13.951","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 12:10:13.936","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 12:10:13.935","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 12:10:13.895","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 12:10:13.877","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 12:10:13.876","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 12:10:13.845","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 12:08:56.856","vic-agent","Windows User Logoff","3","60137"
"Jun 11, 2025 @ 12:08:56.823","vic-agent","Windows User Logoff","3","60137"
"Jun 11, 2025 @ 12:08:56.796","vic-agent","Successful Remote Logon Detected - User:\ANONYMOUS LOGON - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"Jun 11, 2025 @ 12:08:56.735","vic-agent","Successful Remote Logon Detected - User:\ANONYMOUS LOGON - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"Jun 11, 2025 @ 12:08:56.734","vic-agent","Windows User Logoff","3","60137"
"Jun 11, 2025 @ 12:08:56.665","vic-agent","Successful Remote Logon Detected - User:\ANONYMOUS LOGON - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"Jun 11, 2025 @ 12:08:56.642","vic-agent","Windows User Logoff","3","60137"
"Jun 11, 2025 @ 12:08:56.600","vic-agent","Successful Remote Logon Detected - User:\ANONYMOUS LOGON - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"Jun 11, 2025 @ 12:08:56.583","vic-agent","Windows User Logoff","3","60137"
"Jun 11, 2025 @ 12:08:56.576","vic-agent","Successful Remote Logon Detected - User:\ANONYMOUS LOGON - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"Jun 11, 2025 @ 12:08:48.099","vic-agent","Logon Failure - Unknown user or bad password","5","60122"
"Jun 11, 2025 @ 12:08:48.069","vic-agent","Windows User Logoff","3","60137"
"Jun 11, 2025 @ 12:08:48.052","vic-agent","Logon Failure - Unknown user or bad password","5","60122"
"Jun 11, 2025 @ 12:08:48.018","vic-agent","Successful Remote Logon Detected - User:\ANONYMOUS LOGON - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"Jun 11, 2025 @ 12:08:48.016","vic-agent","A network share was accessed.","3","67017"
"Jun 11, 2025 @ 12:08:22.968","vic-agent","Windows System process activity over SMB port - Possible suspicious access to Windows admin shares","3","92106"
"Jun 11, 2025 @ 12:08:21.297","vic-agent","A network share was accessed.","3","67017"
"Jun 11, 2025 @ 12:08:21.216","vic-agent","Special privileges assigned to new logon.","3","67028"
"Jun 11, 2025 @ 12:08:21.216","vic-agent","Successful Remote Logon Detected - User:\Administrator - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"Jun 11, 2025 @ 12:08:17.759","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 12:08:17.710","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 12:08:06.731","vic-agent","Windows User Logoff","3","60137"
"Jun 11, 2025 @ 12:07:33.843","vic-agent","Logon Failure - Unknown user or bad password","5","60122"
"Jun 11, 2025 @ 12:07:32.822","vic-agent","A network share was accessed.","3","67017"
"Jun 11, 2025 @ 12:07:32.822","vic-agent","A network share was accessed.","3","67017"
"Jun 11, 2025 @ 12:07:12.698","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.680","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.664","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.639","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.617","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.604","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.601","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.555","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.541","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.541","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:12.513","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:04.838","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:04.810","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:04.777","vic-agent","Windows Audit Policy changed","8","60112"
"Jun 11, 2025 @ 12:07:04.742","vic-agent","Windows Audit Policy changed","8","60112"
