timestamp,agent.name,rule.description,rule.level,rule.id
"this is the triggered rule --> Jun 11, 2025 @ 15:46:30.517","vic-agent","Archive tool extracted a potentially malicious file","8","100150"
"Jun 11, 2025 @ 15:44:52.214","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 11, 2025 @ 15:44:47.681","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:44:46.328","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:44:45.514","vic-agent","Wazuh agent started.","3","503"
"Jun 11, 2025 @ 15:44:40.630","vic-agent","Wazuh agent stopped.","3","506"
"Jun 11, 2025 @ 15:44:36.807","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:44:36.764","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:44:31.208","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:44:29.242","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:44:28.951","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.919","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.886","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.857","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.818","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.795","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.760","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.730","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.699","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.699","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.665","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.638","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.604","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.571","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.539","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.537","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.492","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:44:28.461","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:26:05.631","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:25:49.478","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:24:45.527","vic-agent","Archive tool extracted a potentially malicious file","8","100150"
"Jun 11, 2025 @ 15:24:32.851","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 11, 2025 @ 15:24:27.813","vic-agent","Wazuh agent started.","3","503"
"Jun 11, 2025 @ 15:22:40.858","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 11, 2025 @ 15:22:24.463","vic-agent","Archive tool extracted a potentially malicious file","8","100150"
"Jun 11, 2025 @ 15:22:10.323","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:22:06.134","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:22:02.004","vic-agent","Wazuh agent started.","3","503"
"Jun 11, 2025 @ 15:21:51.297","vic-agent","Wazuh agent stopped.","3","506"
"Jun 11, 2025 @ 15:21:47.864","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:21:33.733","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:21:32.079","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:10:00.285","vic-agent","Windows Logon Success","3","60106"
"Jun 11, 2025 @ 15:10:00.228","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:10:00.192","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:10:00.178","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 11, 2025 @ 15:10:00.156","vic-agent","Executable dropped in Windows root folder","6","92217"
