timestamp,agent.name,rule.description,rule.level,rule.id
"May 29, 2025 @ 11:54:30.775","DESKTOP-3LB6CRU","Administrators Group Changed","12","60154"
"May 29, 2025 @ 11:54:26.977","DESKTOP-3LB6CRU","Privilege Escalation - PowerShell dropped executable in Windows directory","12","100313"
"May 29, 2025 @ 11:54:23.142","DESKTOP-3LB6CRU","Privilege Escalation - New user added to security-enabled local group","12","100310"
"May 29, 2025 @ 11:54:23.141","DESKTOP-3LB6CRU","Privilege Escalation - Domain Users group changed","10","100312"
"May 29, 2025 @ 11:54:22.421","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 29, 2025 @ 11:54:09.959","DESKTOP-3LB6CRU","Wazuh agent stopped.","3","506"
"May 29, 2025 @ 11:54:09.897","DESKTOP-3LB6CRU","Privilege Escalation - PowerShell dropped executable in Windows directory","12","100313"
"May 29, 2025 @ 11:54:05.063","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 29, 2025 @ 11:54:01.492","DESKTOP-3LB6CRU","Wazuh agent stopped.","3","506"
"May 29, 2025 @ 11:49:35.654","DESKTOP-3LB6CRU","Security Enabled Local Group Member Added S-1-5-21-4260446732-1761901982-3795413639-1021","5","60144"
"May 29, 2025 @ 11:49:27.610","DESKTOP-3LB6CRU","Users Group Changed","5","60170"
"May 29, 2025 @ 11:49:27.534","DESKTOP-3LB6CRU","Domain Users Group Changed","5","60160"
"May 29, 2025 @ 11:49:02.080","DESKTOP-3LB6CRU","Powershell process created an executable file in Windows root folder","9","92205"
"May 29, 2025 @ 11:49:02.054","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 29, 2025 @ 11:45:41.357","DESKTOP-3LB6CRU","SCA summary: CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Score less than 50% (30)","7","19004"
"May 29, 2025 @ 11:45:33.421","DESKTOP-3LB6CRU","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Always install with elevated privileges' is set to 'Disabled'.: Status changed from passed to failed","9","19011"
"May 29, 2025 @ 11:44:55.878","DESKTOP-3LB6CRU","Powershell process created an executable file in Windows root folder","9","92205"
"May 29, 2025 @ 11:44:41.420","DESKTOP-3LB6CRU","Administrators Group Changed","12","60154"
"May 29, 2025 @ 11:44:40.057","DESKTOP-3LB6CRU","Users Group Changed","5","60170"
"May 29, 2025 @ 11:44:40.053","DESKTOP-3LB6CRU","Domain Users Group Changed","5","60160"
"May 29, 2025 @ 11:44:37.888","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 29, 2025 @ 11:44:31.244","DESKTOP-3LB6CRU","Wazuh agent stopped.","3","506"
"May 29, 2025 @ 11:40:32.876","DESKTOP-3LB6CRU","Windows System error event","5","61102"
"May 29, 2025 @ 11:34:24.515","DESKTOP-3LB6CRU","Custom: PowerShell created executable file (likely suspicious download)","12","100200"
"May 29, 2025 @ 11:34:22.823","DESKTOP-3LB6CRU","Custom: PowerShell created executable file (likely suspicious download)","12","100200"
"May 29, 2025 @ 11:34:13.816","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 29, 2025 @ 11:34:10.315","DESKTOP-3LB6CRU","Wazuh agent stopped.","3","506"
"May 29, 2025 @ 11:29:01.866","DESKTOP-3LB6CRU","Custom: PowerShell created executable file (likely suspicious download)","12","100200"
"May 29, 2025 @ 11:28:55.385","DESKTOP-3LB6CRU","Custom: PowerShell created executable file (likely suspicious download)","12","100200"
"May 29, 2025 @ 11:28:44.412","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 29, 2025 @ 11:16:32.750","DESKTOP-3LB6CRU","Custom: PowerShell created executable file (likely suspicious download)","12","100200"
"May 29, 2025 @ 11:14:33.629","DESKTOP-3LB6CRU","Custom: PowerShell created executable file (likely suspicious download)","12","100200"
"May 29, 2025 @ 11:14:27.666","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 29, 2025 @ 11:14:25.497","DESKTOP-3LB6CRU","Wazuh agent stopped.","3","506"
"May 29, 2025 @ 11:12:51.970","DESKTOP-3LB6CRU","Custom: PowerShell created executable file (likely suspicious download)","12","100200"
"May 29, 2025 @ 11:12:26.118","DESKTOP-3LB6CRU","Custom: PowerShell created executable file (likely suspicious download)","12","100200"
"May 29, 2025 @ 11:12:21.821","DESKTOP-3LB6CRU","Software protection service scheduled successfully.","3","60642"
"May 29, 2025 @ 11:12:19.312","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 29, 2025 @ 11:12:15.716","DESKTOP-3LB6CRU","Wazuh agent stopped.","3","506"
"May 29, 2025 @ 11:10:52.447","DESKTOP-3LB6CRU","Software protection service scheduled successfully.","3","60642"
"May 29, 2025 @ 11:07:30.158","DESKTOP-3LB6CRU","Custom: PowerShell created executable file (likely suspicious download)","12","100200"
"May 29, 2025 @ 11:02:10.889","DESKTOP-3LB6CRU","Application installed Python 3.13.3 pip Bootstrap (64-bit), 3.13.3150.0, 1033, 0, Python Software Foundation.","3","60612"
"May 29, 2025 @ 11:02:10.887","DESKTOP-3LB6CRU","Application installed Product: Python 3.13.3 pip Bootstrap (64-bit) -- Installation completed successfully..","3","60612"
"May 29, 2025 @ 11:01:31.096","DESKTOP-3LB6CRU","Windows installer began an installation process.","3","60610"
"May 29, 2025 @ 11:01:31.018","DESKTOP-3LB6CRU","Application installed Python Launcher, 3.13.3150.0, 1033, 0, Python Software Foundation.","3","60612"
"May 29, 2025 @ 11:01:30.994","DESKTOP-3LB6CRU","Application installed Product: Python Launcher -- Installation completed successfully..","3","60612"
"May 29, 2025 @ 11:01:28.710","DESKTOP-3LB6CRU","Windows installer began an installation process.","3","60610"
"May 29, 2025 @ 11:01:28.608","DESKTOP-3LB6CRU","Application installed Python 3.13.3 Tcl/Tk Support (64-bit), 3.13.3150.0, 1033, 0, Python Software Foundation.","3","60612"
"May 29, 2025 @ 11:01:28.595","DESKTOP-3LB6CRU","Application installed Product: Python 3.13.3 Tcl/Tk Support (64-bit) -- Installation completed successfully..","3","60612"
"May 29, 2025 @ 11:01:28.387","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 29, 2025 @ 11:01:28.343","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 29, 2025 @ 11:01:16.984","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
