timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 4, 2025 @ 13:11:33.662","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled'.","3","19009"
"Jun 4, 2025 @ 13:11:13.776","vic-agent","Software protection service scheduled successfully.","3","60642"
"Jun 4, 2025 @ 13:11:13.596","vic-agent","SCA summary: CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Score less than 50% (30)","7","19004"
"Jun 4, 2025 @ 13:11:11.597","vic-agent","PowerShell initiated a network connection, created an executable, and compressed files within 10 minutes","15","100033"
"Jun 4, 2025 @ 13:10:54.166","kali","PAM: Login session closed.","3","5502"
"Jun 4, 2025 @ 13:10:51.396","vic-agent","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Allow anonymous SID/Name translation' is set to 'Disabled'.: Status changed from passed to 'not applicable'","5","19012"
"Jun 4, 2025 @ 13:10:46.077","vic-agent","Executable dropped in Windows root folder","6","92217"
"Jun 4, 2025 @ 13:10:28.652","vic-agent","Scripting file created under Windows Temp or User folder","6","92200"
"Jun 4, 2025 @ 13:10:28.608","vic-agent","Scripting file created under Windows Temp or User folder","6","92200"
"Jun 4, 2025 @ 13:10:22.129","kali","PAM: Login session opened.","3","5501"
"Jun 4, 2025 @ 13:10:22.129","kali","Successful sudo to ROOT executed.","3","5402"
"Jun 4, 2025 @ 13:10:18.026","vic-agent","Powershell process created an executable file in Windows root folder","9","92205"
"Jun 4, 2025 @ 13:10:01.639","vic-agent","PowerShell initiated a network connection","10","100032"
"Jun 4, 2025 @ 13:09:56.627","vic-agent","Scripting file created under Windows Temp or User folder","6","92200"
"Jun 4, 2025 @ 13:09:56.625","vic-agent","Scripting file created under Windows Temp or User folder","6","92200"
"Jun 4, 2025 @ 13:09:25.659","vic-agent","Suspicious file compression activity by powershell: C:\\Users\\windows\\test_download.zip","14","92212"
"Jun 4, 2025 @ 13:09:16.918","vic-agent","Wazuh agent started.","3","503"
"Jun 4, 2025 @ 13:09:13.421","vic-agent","Wazuh agent stopped.","3","506"
"Jun 4, 2025 @ 13:09:03.744","vic-agent","Service startup type was changed","3","61104"
"Jun 4, 2025 @ 13:09:02.542","vic-agent","System time changed","5","60132"
