timestamp,agent.name,rule.description,rule.level,rule.id
"May 27, 2025 @ 16:05:19.776","DESKTOP-3LB6CRU","C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe","4","92066"
"May 27, 2025 @ 16:05:17.767","DESKTOP-3LB6CRU","Powershell process created an executable file in Windows root folder","9","92205"
"May 27, 2025 @ 16:05:16.832","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:16.760","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:16.760","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:16.717","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:16.700","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:16.700","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:16.676","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:15.786","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:15.767","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:15.767","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:15.734","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:15.732","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:05:15.713","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:15.701","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:15.701","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:15.664","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:15.645","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:15.643","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:15.623","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:15.597","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:15.583","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:15.580","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:14.695","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:14.675","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:14.675","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:14.640","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:14.626","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:14.626","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:14.583","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:12.896","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:12.878","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:12.867","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:05:12.739","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 27, 2025 @ 16:04:57.404","DESKTOP-3LB6CRU","Wazuh agent stopped.","3","506"
"May 27, 2025 @ 16:01:19.213","DESKTOP-3LB6CRU","C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe","4","92066"
"May 27, 2025 @ 16:01:18.067","DESKTOP-3LB6CRU","Powershell process created an executable file in Windows root folder","9","92205"
"May 27, 2025 @ 16:01:17.963","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.896","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.865","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.846","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.845","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.780","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.731","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.712","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.677","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.638","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.589","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.569","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 16:01:17.512","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.495","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.393","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.390","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.379","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.332","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.292","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.252","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.239","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.200","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.200","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.166","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.118","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.080","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.078","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:17.056","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:16.877","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:16.670","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:16.613","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:16.570","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 16:01:11.511","DESKTOP-3LB6CRU","Wazuh agent started.","3","503"
"May 27, 2025 @ 16:00:55.342","DESKTOP-3LB6CRU","Wazuh agent stopped.","3","506"
"May 27, 2025 @ 16:00:19.457","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:19.439","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:19.396","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:19.395","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.889","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.864","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.849","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.830","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.781","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.773","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.728","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.689","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.655","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.630","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.606","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.589","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.568","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.559","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.532","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.518","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.516","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.498","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.498","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.477","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.456","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.443","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.424","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.399","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.384","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:18.380","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:17.238","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:17.223","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:17.194","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:17.175","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:17.158","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:17.151","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:17.151","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 16:00:17.145","DESKTOP-3LB6CRU","Scripting file created under Windows Temp or User folder","6","92200"
"May 27, 2025 @ 15:49:33.501","DESKTOP-3LB6CRU","Summary event of the report's signatures.","4","60608"
"May 27, 2025 @ 15:49:29.408","DESKTOP-3LB6CRU","Windows application error event.","9","60602"
"May 27, 2025 @ 15:47:33.254","DESKTOP-3LB6CRU","Software protection service scheduled successfully.","3","60642"
"May 27, 2025 @ 15:46:59.734","DESKTOP-3LB6CRU","C:\\Windows\\SysWOW64\\SecEdit.exe binary in a suspicious location launched by C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe","4","92066"
"May 27, 2025 @ 15:46:54.475","DESKTOP-3LB6CRU","Powershell process created an executable file in Windows root folder","9","92205"
"May 27, 2025 @ 15:46:51.412","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 15:46:51.412","DESKTOP-3LB6CRU","Discovery activity executed","3","92031"
"May 27, 2025 @ 15:46:51.397","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 15:46:51.364","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 15:46:51.248","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 15:46:49.319","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 15:46:49.267","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
"May 27, 2025 @ 15:46:49.184","DESKTOP-3LB6CRU","A net.exe account discovery command was initiated","3","92039"
