timestamp,agent.name,rule.description,rule.level,rule.id
"May 21, 2025 @ 12:15:18.938","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 12:15:18.934","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 12:15:17.882","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 12:15:15.993","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:15:15.989","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:15:15.987","windows","Non network or service local logon.","3","67022"
"May 21, 2025 @ 12:15:15.951","windows","Non network or service local logon.","3","67022"
"May 21, 2025 @ 12:15:15.923","windows","Windows User Logoff","3","60137"
"May 21, 2025 @ 12:15:15.922","windows","Non network or service local logon.","3","67022"
"May 21, 2025 @ 12:15:15.905","windows","Windows Logon Success","3","60106"
"May 21, 2025 @ 12:15:15.862","windows","🚨 Custom: Lateral movement via RDP detected (based on rule 92657)","14","100600"
"May 21, 2025 @ 12:15:15.858","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:15:15.762","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:15:13.748","kali","Wazuh server started.","3","502"
"May 21, 2025 @ 12:15:09.733","kali","PAM: Login session closed.","3","5502"
"May 21, 2025 @ 12:15:06.437","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:06.436","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:06.436","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:06.436","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:06.436","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:05.761","kali","Listened ports status (netstat) changed (new port opened or closed).","7","533"
"May 21, 2025 @ 12:15:05.386","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:05.385","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:05.382","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:05.374","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:05.374","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:15:05.374","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:14:53.295","kali","Successful sudo to ROOT executed.","3","5402"
"May 21, 2025 @ 12:14:53.295","kali","PAM: Login session opened.","3","5501"
"May 21, 2025 @ 12:14:51.292","kali","PAM: Login session closed.","3","5502"
"May 21, 2025 @ 12:14:21.257","kali","PAM: Login session opened.","3","5501"
"May 21, 2025 @ 12:14:21.257","kali","Successful sudo to ROOT executed.","3","5402"
"May 21, 2025 @ 12:13:14.745","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 12:13:14.743","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 12:13:13.949","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 12:13:11.736","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:13:11.694","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:13:11.623","windows","Non network or service local logon.","3","67022"
"May 21, 2025 @ 12:13:11.595","windows","Non network or service local logon.","3","67022"
"May 21, 2025 @ 12:13:11.569","windows","Windows User Logoff","3","60137"
"May 21, 2025 @ 12:13:11.568","windows","Non network or service local logon.","3","67022"
"May 21, 2025 @ 12:13:11.555","windows","Windows Logon Success","3","60106"
"May 21, 2025 @ 12:13:11.537","windows","Successful Remote Logon Detected - User:\windows - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"May 21, 2025 @ 12:13:11.537","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:13:11.523","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:11:32.491","windows","Windows Logon Success","3","60106"
"May 21, 2025 @ 12:09:54.979","kali","Wazuh server started.","3","502"
"May 21, 2025 @ 12:09:50.970","kali","PAM: Login session closed.","3","5502"
"May 21, 2025 @ 12:09:47.800","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:47.800","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:47.800","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:47.800","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:47.800","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:47.073","kali","Listened ports status (netstat) changed (new port opened or closed).","7","533"
"May 21, 2025 @ 12:09:46.605","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:46.603","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:46.601","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:46.593","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:46.593","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:09:46.592","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:08:14.411","kali","PAM: Login session closed.","3","5502"
"May 21, 2025 @ 12:07:40.374","kali","PAM: Login session opened.","3","5501"
"May 21, 2025 @ 12:07:40.374","kali","Successful sudo to ROOT executed.","3","5402"
"May 21, 2025 @ 12:07:34.207","windows","Windows Logon Success","3","60106"
"May 21, 2025 @ 12:04:26.291","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 12:04:26.288","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 12:04:24.950","windows","Windows Logon Success","3","60106"
"May 21, 2025 @ 12:04:24.922","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 12:04:23.678","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:04:23.495","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:04:23.401","windows","Non network or service local logon.","3","67022"
"May 21, 2025 @ 12:04:23.358","windows","Non network or service local logon.","3","67022"
"May 21, 2025 @ 12:04:23.309","windows","Windows User Logoff","3","60137"
"May 21, 2025 @ 12:04:23.294","windows","Non network or service local logon.","3","67022"
"May 21, 2025 @ 12:04:22.627","windows","TrustedInstaller was unavailable to handle a critical notification event.","7","60776"
"May 21, 2025 @ 12:04:22.341","windows","Windows Logon Success","3","60106"
"May 21, 2025 @ 12:04:22.339","windows","Successful Remote Logon Detected - User:\windows - NTLM authentication, possible pass-the-hash attack - Possible RDP connection. Verify that DESKTOP-4LL2QQL is allowed to perform RDP connections","6","92657"
"May 21, 2025 @ 12:04:22.320","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:04:22.275","windows","Special privileges assigned to new logon.","3","67028"
"May 21, 2025 @ 12:04:13.187","kali","Wazuh server started.","3","502"
"May 21, 2025 @ 12:04:08.290","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:08.289","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:08.289","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:08.289","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:08.289","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:08.133","kali","PAM: Login session closed.","3","5502"
"May 21, 2025 @ 12:04:04.995","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:04.951","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:04.949","kali","Listened ports status (netstat) changed (new port opened or closed).","7","533"
"May 21, 2025 @ 12:04:04.946","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:04.945","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:04.943","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:04:04.942","kali","Host-based anomaly detection event (rootcheck).","7","510"
"May 21, 2025 @ 12:03:51.355","kali","Successful sudo to ROOT executed.","3","5402"
"May 21, 2025 @ 12:03:51.355","kali","PAM: Login session opened.","3","5501"
"May 21, 2025 @ 12:03:49.352","kali","PAM: Login session closed.","3","5502"
"May 21, 2025 @ 12:01:41.188","kali","PAM: Login session opened.","3","5501"
"May 21, 2025 @ 12:01:41.188","kali","Successful sudo to ROOT executed.","3","5402"
"May 21, 2025 @ 11:58:05.588","windows","Non service account logged off.","3","67023"
"May 21, 2025 @ 11:58:05.578","windows","Non service account logged off.","3","67023"
